"subj"	"block"	"bsl"	"speed"	"trialN"	"condi"	"setID"	"RTs"	"dprime"	"cyc"	"cond"	"tempo"	"response"	"RTadj"	"tone"
"1"	"1"	1	0.48876	1	6	"2"	18	1.054	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56524	23
"2"	"1"	1	0.48876	1	7	"2"	16	0.9884	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.49964	20
"3"	"1"	1	0.48876	1	9	"2"	4	0.8515	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.36274	15
"4"	"1"	1	0.48876	1	10	"2"	29	0.9833	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.49454	20
"5"	"1"	1	0.48876	1	11	"2"	14	0.9926	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.50384	20
"6"	"1"	1	0.48876	1	13	"2"	2	0.9484	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.45964	18
"7"	"1"	1	0.48876	1	14	"2"	10	0.9763	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.48754	20
"8"	"1"	1	0.48876	1	17	"2"	28	0.9279	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43914	18
"9"	"1"	1	0.48876	1	19	"2"	22	0.9176	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42884	17
"10"	"1"	1	0.48876	1	22	"2"	23	1.0124	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.52364	21
"11"	"1"	1	0.48876	1	27	"2"	15	0.9365	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.44774	18
"12"	"1"	1	0.48876	1	29	"2"	32	1.1024	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.61364	25
"13"	"1"	1	0.48876	1	31	"2"	9	0.9352	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.44644	18
"14"	"1"	1	0.48876	1	32	"2"	26	1.0067	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.51794	21
"15"	"1"	1	0.48876	1	34	"2"	27	0.8971	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.40834	16
"16"	"1"	1	0.48876	1	35	"2"	33	0.7966	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.30784	12
"17"	"1"	1	0.48876	1	36	"2"	24	0.9498	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46104	18
"18"	"1"	1	0.48876	1	40	"2"	21	1.0338	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.54504	22
"19"	"1"	1	0.48876	1	42	"2"	31	1.0076	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.51884	21
"20"	"1"	1	0.48876	1	45	"2"	30	1.1119	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.62314	25
"21"	"1"	1	0.48876	1	50	"2"	6	0.9274	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43864	18
"22"	"1"	1	0.48876	1	54	"2"	5	1.0204	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.53164	21
"23"	"1"	1	0.48876	1	55	"2"	19	0.953	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46424	19
"24"	"1"	1	0.48876	1	57	"2"	7	0.7995	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31074	12
"25"	"1"	1	0.48876	1	59	"2"	34	1.2299	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.74114	30
"26"	"1"	1	0.48876	1	60	"2"	12	0.8417	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.35294	14
"27"	"1"	1	0.48876	1	63	"2"	35	0.8795	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39074	16
"28"	"1"	1	0.48876	1	70	"2"	17	0.8072	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31844	13
"29"	"1"	1	0.48876	1	74	"2"	20	1.0461	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.55734	22
"30"	"1"	1	0.48876	1	75	"2"	13	0.9405	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.45174	18
"31"	"1"	1	0.48876	1	76	"2"	8	0.8971	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.40834	16
"32"	"1"	1	0.48876	1	77	"2"	25	0.8594	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.37064	15
"33"	"1"	1	0.48876	1	78	"2"	3	0.974	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.48524	19
"34"	"1"	1	0.48876	1	80	"2"	1	0.8638	3.919928	"TEN"	"RANDREG"	"25ms"	"Hit"	0.37504	15
"35"	"10"	2	0.41126	1	2	"2"	32	0.9504	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.53914	22
"36"	"10"	2	0.41126	1	3	"2"	35	0.8304	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41914	17
"37"	"10"	2	0.41126	1	4	"2"	20	0.7414	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33014	13
"38"	"10"	2	0.41126	1	5	"2"	28	1.0263	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.61504	25
"39"	"10"	2	0.41126	1	8	"2"	13	0.8073	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39604	16
"40"	"10"	2	0.41126	1	11	"2"	19	0.8395	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42824	17
"41"	"10"	2	0.41126	1	17	"2"	14	0.8329	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42164	17
"42"	"10"	2	0.41126	1	26	"2"	31	0.9196	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.50834	20
"43"	"10"	2	0.41126	1	34	"2"	15	0.8445	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43324	17
"44"	"10"	2	0.41126	1	36	"2"	22	0.8648	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.45354	18
"45"	"10"	2	0.41126	1	39	"2"	24	1.019	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.60774	24
"46"	"10"	2	0.41126	1	40	"2"	10	0.9672	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.55594	22
"47"	"10"	2	0.41126	1	43	"2"	4	1.0364	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.62514	25
