subj	 block	 speed	 trialN	 condi	 setID	 RTs	 response	 dprime	 correct
1	1	1	1	3	4	NaN	2	3.919928 	1
1	1	1	2	4	2	0.6286	1	3.919928 	1
1	1	1	3	1	33	2.5149	-1	3.919928 	0
1	1	1	4	1	30	NaN	2	3.919928 	1
1	1	1	5	1	27	NaN	2	3.919928 	1
1	1	1	6	2	18	1.0540	1	3.919928 	1
1	1	1	7	2	16	0.9884	1	3.919928 	1
1	1	1	8	1	34	NaN	2	3.919928 	1
1	1	1	9	2	4	0.8515	1	3.919928 	1
1	1	1	10	2	29	0.9833	1	3.919928 	1
1	1	1	11	2	14	0.9926	1	3.919928 	1
1	1	1	12	1	4	NaN	2	3.919928 	1
1	1	1	13	2	2	0.9484	1	3.919928 	1
1	1	1	14	2	10	0.9763	1	3.919928 	1
1	1	1	15	1	6	NaN	2	3.919928 	1
1	1	1	16	1	23	NaN	2	3.919928 	1
1	1	1	17	2	28	0.9279	1	3.919928 	1
1	1	1	18	1	12	NaN	2	3.919928 	1
1	1	1	19	2	22	0.9176	1	3.919928 	1
1	1	1	20	3	1	NaN	2	3.919928 	1
1	1	1	21	1	7	NaN	2	3.919928 	1
1	1	1	22	2	23	1.0124	1	3.919928 	1
1	1	1	23	1	3	NaN	2	3.919928 	1
1	1	1	24	1	5	NaN	2	3.919928 	1
1	1	1	25	1	24	NaN	2	3.919928 	1
1	1	1	26	1	18	NaN	2	3.919928 	1
1	1	1	27	2	15	0.9365	1	3.919928 	1
1	1	1	28	1	20	NaN	2	3.919928 	1
1	1	1	29	2	32	1.1024	1	3.919928 	1
1	1	1	30	1	9	NaN	2	3.919928 	1
1	1	1	31	2	9	0.9352	1	3.919928 	1
1	1	1	32	2	26	1.0067	1	3.919928 	1
1	1	1	33	1	25	NaN	2	3.919928 	1
1	1	1	34	2	27	0.8971	1	3.919928 	1
1	1	1	35	2	33	0.7966	1	3.919928 	1
1	1	1	36	2	24	0.9498	1	3.919928 	1
1	1	1	37	1	29	NaN	2	3.919928 	1
1	1	1	38	1	35	NaN	2	3.919928 	1
1	1	1	39	1	16	NaN	2	3.919928 	1
1	1	1	40	2	21	1.0338	1	3.919928 	1
1	1	1	41	3	5	NaN	2	3.919928 	1
1	1	1	42	2	31	1.0076	1	3.919928 	1
1	1	1	43	4	5	0.4115	1	3.919928 	1
1	1	1	44	1	19	NaN	2	3.919928 	1
1	1	1	45	2	30	1.1119	1	3.919928 	1
1	1	1	46	1	13	NaN	2	3.919928 	1
1	1	1	47	1	15	NaN	2	3.919928 	1
1	1	1	48	4	1	0.6604	1	3.919928 	1
1	1	1	49	1	31	NaN	2	3.919928 	1
1	1	1	50	2	6	0.9274	1	3.919928 	1
1	1	1	51	2	11	NaN	0	3.919928 	0
1	1	1	52	1	1	NaN	2	3.919928 	1
1	1	1	53	1	28	NaN	2	3.919928 	1
1	1	1	54	2	5	1.0204	1	3.919928 	1
1	1	1	55	2	19	0.9530	1	3.919928 	1
1	1	1	56	1	22	NaN	2	3.919928 	1
1	1	1	57	2	7	0.7995	1	3.919928 	1
1	1	1	58	3	3	NaN	2	3.919928 	1
1	1	1	59	2	34	1.2299	1	3.919928 	1
1	1	1	60	2	12	0.8417	1	3.919928 	1
1	1	1	61	1	2	NaN	2	3.919928 	1
1	1	1	62	3	2	NaN	2	3.919928 	1
1	1	1	63	2	35	0.8795	1	3.919928 	1
1	1	1	64	1	11	NaN	2	3.919928 	1
1	1	1	65	1	14	NaN	2	3.919928 	1
1	1	1	66	1	32	NaN	2	3.919928 	1
1	1	1	67	1	21	NaN	2	3.919928 	1
1	1	1	68	4	3	0.3243	1	3.919928 	1
1	1	1	69	1	17	NaN	2	3.919928 	1
1	1	1	70	2	17	0.8072	1	3.919928 	1
1	1	1	71	1	10	NaN	2	3.919928 	1
1	1	1	72	1	8	NaN	2	3.919928 	1
1	1	1	73	1	26	NaN	2	3.919928 	1
1	1	1	74	2	20	1.0461	1	3.919928 	1
1	1	1	75	2	13	0.9405	1	3.919928 	1
1	1	1	76	2	8	0.8971	1	3.919928 	1
1	1	1	77	2	25	0.8594	1	3.919928 	1
1	1	1	78	2	3	0.9740	1	3.919928 	1
1	1	1	79	4	4	0.4190	1	3.919928 	1
1	1	1	80	2	1	0.8638	1	3.919928 	1
1	2	4	1	1	19	NaN	2	3.888401 	1
1	2	4	2	1	5	NaN	2	3.888401 	1
1	2	4	3	1	15	NaN	2	3.888401 	1
1	2	4	4	2	31	1.2624	1	3.888401 	1
1	2	4	5	1	1	NaN	2	3.888401 	1
1	2	4	6	1	35	NaN	2	3.888401 	1
1	2	4	7	2	3	1.1091	1	3.888401 	1
1	2	4	8	1	26	NaN	2	3.888401 	1
1	2	4	9	1	28	NaN	2	3.888401 	1
1	2	4	10	2	17	1.4027	1	3.888401 	1
1	2	4	11	2	33	1.3640	1	3.888401 	1
1	2	4	12	2	5	1.2401	1	3.888401 	1
1	2	4	13	4	1	0.4334	1	3.888401 	1
1	2	4	14	2	15	1.4856	1	3.888401 	1
1	2	4	15	3	4	NaN	2	3.888401 	1
1	2	4	16	4	5	0.2917	1	3.888401 	1
1	2	4	17	3	5	NaN	2	3.888401 	1
1	2	4	18	2	28	1.2204	1	3.888401 	1
